"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYH11",28927.7115130951,1.33943159906707,0.339827141387067,3.94150859639974,8.09707325314497e-05,0.00810392030392309
"MCOLN2",321.490619920783,-1.63809335181751,0.416174726956552,-3.93607118768778,8.28264130902699e-05,0.00810392030392309
"ADAMTS4",78.0708415035458,-1.80888270074487,0.461684146235399,-3.91800913133927,8.92833248558385e-05,0.00845006343189663
"FGF2",20.8020894127792,1.16569184096063,0.297453870047916,3.91889956171305,8.89541704104338e-05,0.00845006343189663
"COL3A1",17644.9256971163,1.03166668894035,0.263404911123604,3.91665699982424,8.97853515892571e-05,0.00845189097299087
"CCL7",97.7524690092003,-1.6066995638707,0.41088741073594,-3.91031587215812,9.21755024508092e-05,0.00863048594872309
"PDGFRL",146.579290549847,1.01262497268389,0.259438172303804,3.90314564619312,9.49505254523699e-05,0.00864774316770144
"CDH13",211.790130600162,1.10471525494498,0.283365889518316,3.89854705809103,9.67715961862999e-05,0.00864774316770144
"COL11A1",102.324707533,1.32458427549062,0.339116677531162,3.90598387886395,9.38427684249712e-05,0.00864774316770144
"APOD",25879.9975340372,-1.37268795698878,0.351461973944237,-3.90565141822872,9.39718932668565e-05,0.00864774316770144
"WNT9B",127.118311808264,-1.7362660340047,0.445343578904886,-3.89871127877094,9.67059998150339e-05,0.00864774316770144
"PTCHD1",121.640888843635,1.99851366858948,0.512833972325941,3.89699937296526,9.73918711994748e-05,0.00864774316770144
"IDO1",662.556898338062,-1.60465591431216,0.410960786089299,-3.90464484356783,9.43638619657559e-05,0.00864774316770144
"TMOD1",122.710663628768,1.11736404833708,0.28724172213721,3.88997823861859,0.000100253211815344,0.00873300241629283
"TMEM200A",156.709935130019,2.01757612280839,0.518644958611822,3.89009107156566,0.000100206607762641,0.00873300241629283
"TSPYL5",39.9069401817259,1.09393672205953,0.282802111412944,3.86820563889699,0.000109639186473729,0.00931879862120644
"CHI3L1",461.254857004745,-2.22850651358197,0.57638367836415,-3.8663595053676,0.000110472056341442,0.00934422818590483
"TSPAN2",872.953540679322,1.40336224787708,0.363894427857648,3.85650930721605,0.0001150177207338,0.00963562331257463
"IL15RA",220.138541128972,-1.04627788588212,0.272436792909534,-3.84044267555871,0.000122812648919226,0.0100954303752429
"TFEC",329.859885164672,-1.41707862267249,0.370220940376105,-3.82765659131244,0.000129369079662741,0.0104866815546988
"CPEB1",110.261684685598,1.01463742650941,0.265718643928033,3.81846531922019,0.000134284457707999,0.0106442832039491
"ZNF641",35.817273068953,1.05537442837589,0.276390055876913,3.81842402045712,0.000134306935698456,0.0106442832039491
"UPK3A",19.329437797488,-2.86776429251891,0.752067546849962,-3.8131738359547,0.000137193543349823,0.010757634333689
"DPEP1",34.2966874277267,-1.52354984703476,0.399630683154364,-3.8123945714305,0.000137626939902126,0.010757634333689
"DPYSL3",2477.51103884172,1.09222767878195,0.287177749631107,3.80331582159471,0.000142772149925212,0.0110610512081439
"MRAP",89.7602078621737,-2.19680868999204,0.578626399997903,-3.79659256819253,0.000146698598990277,0.0112163570730164
"FAM107A",654.069537553102,-1.49846136739473,0.397006986607809,-3.77439545887644,0.000160396151529151,0.0117999000719492
"TIFAB",91.9244131210742,-1.77878956767448,0.473010252646607,-3.76057296373963,0.000169524617545437,0.0122653162338969
"AKAP6",143.462909170963,1.26672951119039,0.336776450278107,3.76133637059343,0.00016900796770204,0.0122653162338969
"PDCD1LG2",46.5491920472103,-2.02109334469104,0.538765398785755,-3.75134214121042,0.000175890482098637,0.0125274600036472
"KCNMB1",177.99720580493,1.33856739661638,0.357286212411029,3.74648489115629,0.000179329799179148,0.0126608284428537
"CDH20",73.9969504781112,2.43702892822073,0.650418854000788,3.7468608316477,0.000179061362218953,0.0126608284428537
"IGSF9B",53.8330205820206,2.03688694511575,0.544537738371757,3.74057994806076,0.000183596134236313,0.0127495833183323
"AK4",1740.55980348384,1.21778856137568,0.326213056614977,3.73310796941218,0.000189131471743759,0.0127857256322837
"ENAH",3577.85835470453,1.14631501233489,0.307961145396312,3.72227155753595,0.000197438512744778,0.0130945110592739
"GABRA2",23.9547515921458,2.75214042411979,0.740615462125789,3.71601804831392,0.000202387131925561,0.0132386506128401
"LRRC10B",34.2268319244355,1.60592351299382,0.4327611578719,3.71087719815461,0.000206542287420696,0.0134170837495177
"FGF5",12.0440844420429,2.34222335881066,0.632863040717581,3.70099564694897,0.000214755160855499,0.0136065410862802
"SLC7A7",2315.22128682918,-1.03688094340581,0.280119564861632,-3.70156559367065,0.000214273245798215,0.0136065410862802
"COL12A1",1878.60403430442,1.20675920335767,0.326612030907033,3.69477878694909,0.000220078306197592,0.0138112941333822
"LRRC66",664.891932494182,-2.06253407949275,0.559896307170644,-3.68377868022647,0.000229801787309642,0.0143188594092687
"C1QTNF2",130.103019655884,1.00490838800222,0.27353772729924,3.67374693766789,0.000239019462884405,0.0146328383763743
"GSG1",14.0780311474059,-1.35925297317303,0.36994952045191,-3.67415795407071,0.000238635082037355,0.0146328383763743
"PCDH20",50.6522868416113,2.33706659292319,0.635977127187152,3.67476516531302,0.000238068281768308,0.0146328383763743
"HAVCR1",1378.58832478004,-1.13018093156579,0.309082125790572,-3.65657162695838,0.000255611010540003,0.0153270314504963
"GLS2",3520.49825228428,-1.46283775120457,0.400575499509652,-3.65184029726042,0.000260367791282376,0.0155481089899764
"PLN",325.486538060287,1.47102552276031,0.403400906213107,3.64655978730798,0.000265774661658266,0.0157744018677105
"KCTD19",13.6308072633854,1.07216058934111,0.294262404464345,3.64355273753982,0.000268900524742295,0.0158741628523714
"CACNA1C",283.214978309171,1.25780343692569,0.345384760939928,3.6417456100342,0.000270795598320453,0.0158741628523714
"BVES",285.128140417415,1.4898207101847,0.409380306068429,3.63920952742576,0.00027347622165809,0.0159609838833717
"DIRAS2",42.6156485943131,1.3145588395292,0.361872715694991,3.63265530258211,0.000280519638446455,0.0162142993221909
"CCR5",143.518829284083,-1.72955179355318,0.476468053044981,-3.62994283142401,0.000283483998842204,0.0162887512313251
"SGCD",125.26345950268,1.17607221118596,0.325940539732261,3.60824158956118,0.000308279359723564,0.0172449307009581
"WNT10B",9.35054508532476,1.79259369776473,0.496645149877971,3.60940542398366,0.000306899638945618,0.0172449307009581
"ITIH2",35811.7181613283,1.61278457340276,0.447977518044676,3.60014623153906,0.000318038268690383,0.017456213311912
"C3H8orf88",8.64173426253105,1.26933046369778,0.353271799949693,3.59307044569801,0.000326804189470225,0.0176061986259513
"RASGRF2",167.651984825404,1.20484259183978,0.336196846104097,3.5837415068038,0.000338707297508786,0.0180122659868836
"ACSM1",7845.56720351242,1.56906801168992,0.439017157791266,3.57404712741533,0.000351505620842439,0.0183169997480067
"CD68",2438.09320305507,-1.19972837626612,0.335766209917965,-3.57310634848945,0.000352771405113365,0.0183284110745695
"SYNM",4276.99820194506,1.25132547275971,0.350306765936247,3.57208479663632,0.000354150693592017,0.0183456345979367
"SIAH3",11.1518393714184,2.04792742068639,0.574327192372422,3.56578523163223,0.00036276836879769,0.0184642772362755
"NLGN3",52.250356510667,1.11661322636066,0.313070529667184,3.56665070822124,0.000361572905229038,0.0184642772362755
"JPH2",90.0918807734648,2.03731355246352,0.571291013951819,3.56615718208258,0.00036225414976043,0.0184642772362755
"PDZRN4",65.0186140778305,1.99580576838715,0.560142605781611,3.56303153480398,0.000366596621070748,0.018563795482074
