"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MPEG1",11728.1912099415,1.35892764836013,0.383366556869453,3.54472142655595,0.000393028230765966,0.0353745282008578
"CD68",2438.09320305507,1.33237499853613,0.375935581303656,3.54415773552417,0.000393869527466769,0.0353745282008578
"RPRM",8.23208476200308,2.96368604264633,0.836759891596615,3.54185958530032,0.000397316911987737,0.0355092251929433
"COL6A6",80.5878684301985,-1.95094016234431,0.552625867490349,-3.5303091605251,0.000415074337028956,0.0367360937510288
"EVI2A",461.714002821134,1.50645142101122,0.427397418999353,3.52470874657646,0.000423948639050432,0.0369685319509732
"PLIN2",3604.49662702071,1.32176946442833,0.375614827144718,3.518949117307,0.000433259795364641,0.0370854112163763
"ATP1A4",37.9192043483988,2.12517711674848,0.603894064215794,3.5191223803602,0.000432976930685367,0.0370854112163763
"PARP3",541.688451398275,1.46890707986966,0.418855002143102,3.50695842798555,0.000453259954270104,0.0376013117498923
"PSMB8",3483.63012057829,1.48516325620024,0.42314656009945,3.50980817580366,0.000448430074563227,0.0376013117498923
"CCL2",246.245376236481,2.04987256264318,0.584561135935961,3.50668636114691,0.000453723595051355,0.0376013117498923
"MC5R",28.8929388286823,-3.47910740961224,0.99397984954923,-3.50017901388043,0.000464945811301899,0.0383569775188065
"CSF2RA",1156.41265870311,1.3400756057706,0.383928059515231,3.49043413878801,0.000482236459582225,0.0390761561382361
"CMPK2",1025.75812564969,1.9753214973586,0.568339707380666,3.47560001827492,0.000509711884545085,0.0405810789477118
"BCL2L14",349.067077896903,1.2108843308897,0.34852645119761,3.47429679075677,0.000512194159343027,0.040601408318009
"DRAM1",1858.22417803791,1.20888736661978,0.348083901697998,3.47297694815151,0.000514719562384007,0.0406249656337022
"SDC4",5550.53511850128,1.37170648372017,0.395915253531037,3.46464671791849,0.000530928440982676,0.0408434064809964
"THRSP",13515.4724859629,-2.37738404614896,0.687667330798328,-3.45717171613926,0.000545876889814435,0.0414982901263545
